Framework,Tag,Members,Confidence,CandidateHooks,ParseSites
Antares,Lightning.ScatterDelay,Weather_ScatterDelay,member-referenced,22,src/Misc/SWTypes/LightningStorm.cpp:72
Antares,Lightning.Separation,Weather_Separation,member-referenced,22,src/Misc/SWTypes/LightningStorm.cpp:74
Antares,Lightning.Sounds,Weather_Sounds,member-referenced,22,src/Misc/SWTypes/LightningStorm.cpp:85
Antares,LightningRod.Modifier,LightningRod_Modifier,member-referenced,21,src/Ext/BuildingType/Body.cpp:168
Antares,ListIndex,CountryListIndex,member-referenced,19,src/Ext/HouseType/Body.cpp:301
Antares,LoadingTheme,idxLoadingTheme,member-referenced,39,src/Ext/Side/Hooks.cpp:543 ; src/Ext/Side/Hooks.cpp:553 ; src/Ext/Side/Hooks.cpp:556
Antares,LoadScreenText.Brief,LoadScreenBrief,member-referenced,19,src/Ext/HouseType/Body.cpp:269
Antares,LoadScreenText.Color,LoadTextColor,member-referenced-broad,41,src/Ext/HouseType/Body.cpp:298 ; src/Ext/Side/Hooks.cpp:178
Antares,LoadScreenText.Name,LoadScreenName,member-referenced,19,src/Ext/HouseType/Body.cpp:267
Antares,LoadScreenText.SpecialName,LoadScreenSpecialName,member-referenced,19,src/Ext/HouseType/Body.cpp:268
Antares,LostEvaEvent,LostEvaEvent,member-referenced,18,src/Ext/BuildingType/Body.cpp:239
Antares,MakeInfantryOwner,MakeInfantryOwner,member-referenced,6,src/Ext/AnimType/Body.cpp:19
Antares,Malicious,Malicious,member-referenced,7,src/Ext/WarheadType/Body.cpp:103
Antares,MenuText.Status,StatusText,member-referenced,19,src/Ext/HouseType/Body.cpp:270
Antares,Message.Abort,Message_Abort,member-referenced-broad,58,src/Ext/SWType/Body.cpp:206
Antares,Message.Activate,Message_Activate,member-referenced,22,src/Ext/SWType/Body.cpp:205
Antares,Message.Capture,MessageCapture,member-referenced,18,src/Ext/BuildingType/Body.cpp:240
Antares,Message.Color,,same-subsystem-broad,58,src/Ext/SWType/Body.cpp:195
Antares,Message.Detected,Message_Detected,member-referenced,34,src/Ext/SWType/Body.cpp:202
Antares,Message.FirerColor,Message_FirerColor,member-referenced-broad,58,src/Ext/SWType/Body.cpp:194
Antares,Message.InsufficientFunds,Message_InsufficientFunds,member-referenced,34,src/Ext/SWType/Body.cpp:207
Antares,Message.Launch,Message_Launch,member-referenced,22,src/Ext/SWType/Body.cpp:204
Antares,Message.Lost,MessageLost,member-referenced,18,src/Ext/BuildingType/Body.cpp:241
Antares,Message.Ready,Message_Ready,member-referenced,34,src/Ext/SWType/Body.cpp:203
Antares,Message.SilosNeeded,MessageSilosNeeded,member-referenced,17,src/Ext/Rules/Body.cpp:99
Antares,MessageTextColor,MessageTextColorIndex,member-referenced-broad,41,src/Ext/Side/Body.cpp:128
Antares,MindControl.Permanent,MindControl_Permanent,member-referenced,31,src/Ext/WarheadType/Body.cpp:72
Antares,Missile,CustomMissileData,member-referenced,13,src/Ext/TechnoType/Body.cpp:329
Antares,Missile.Custom,IsCustomMissile,member-referenced,13,src/Ext/TechnoType/Body.cpp:328
Antares,Missile.EliteWarhead,CustomMissileEliteWarhead,member-referenced,13,src/Ext/TechnoType/Body.cpp:332
Antares,Missile.EliteWeapon,CustomMissileEliteWeapon,member-referenced,13,src/Ext/TechnoType/Body.cpp:337
Antares,Missile.TakeOffAnim,CustomMissileTakeoffAnim,member-referenced,13,src/Ext/TechnoType/Body.cpp:333
Antares,Missile.TrailerAnim,CustomMissileTrailerAnim,member-referenced,13,src/Ext/TechnoType/Body.cpp:334
Antares,Missile.TrailerSeparation,CustomMissileTrailerSeparation,member-referenced,13,src/Ext/TechnoType/Body.cpp:335
Antares,Missile.Warhead,CustomMissileWarhead,member-referenced,13,src/Ext/TechnoType/Body.cpp:331
Antares,Missile.Weapon,CustomMissileWeapon,member-referenced,13,src/Ext/TechnoType/Body.cpp:336
Antares,Money.Amount,Money_Amount,member-referenced,35,src/Ext/SWType/Body.cpp:142
