String,Kind,Domains,ReadSites,StringVA
BuildTimeUnitsMult,unclassified,,0x511c89,0x82530c
BuildWeapons,tag,ra2|rules|ts|tsfs,0x672f98,0x83d458
Buildable,tag,ra2|rules|ts,0x67420e,0x83d4b4
BuildingAbandonedSound,unclassified,,0x669c38,0x83a8e4
BuildingDamageSound,tag,ra2|rules,0x66acad,0x83a460
BuildingDieSound,tag,ra2|rules,0x66aa5e,0x83a4d0
BuildingDrop,tag,ra2|rules|ts,0x66adb3,0x83a428
BuildingGarrisonedSound,tag,ra2|rules,0x669bf6,0x83a8fc
BuildingRepairedSound,tag,ra2|rules,0x669c79,0x83a8cc
BuildingSlam,tag,ra2|rules|ts,0x66aa9f,0x83a4c0
BuildingsCostBonus,tag,rules,0x4606ee,0x81ab88
Buildup,tag,art|ra2|ts|tsfs,0x46155a,0x81a60c
BuildupSound,unclassified,,0x460750,0x81ab58
BuildupTime,tag,ra2|rules|ts,0x670cad,0x83be60
Built1,unclassified,,0x49c3ac 0x49c9b7,0x81f14c
Built2,unclassified,,0x49c3c3 0x49c9d0,0x81f144
Bullets,tag,ra2|rules,0x75d9f9,0x847cc0
Bummer,unclassified,,0x4c84a0,0x821ca8
Bunker,tag,rules,0x460941,0x81aadc
BunkerDamageMultiplier,tag,rules,0x66c6ec,0x83b04c
BunkerROFMultiplier,tag,rules,0x66c712,0x83b038
BunkerWallsDownSound,tag,rules,0x669ec8,0x83a810
BunkerWallsUpSound,tag,rules,0x669e87,0x83a828
BunkerWeaponRangeBonus,tag,rules,0x66c730,0x83b020
Bunkerable,tag,rules,0x71500a,0x84371c
Burn,tag,ra2|rules|ts,0x6b571d,0x840028
Burst,tag,ra2|rules|ts|tsfs,0x7722c1,0x849438
C4Delay,tag,ra2|rules|ts,0x66cd9a,0x83ad88
C4Warhead,tag,ra2|rules|ts,0x66c31f,0x83b1d4
CACHE.MIX,file,,0x530361,0x826650
CACHEMD.MIX,file,,0x53031f,0x82665c
CAMEO.MIX,file,,0x530709 0x530756,0x8267b4
CAMEOMD.MIX,file,,0x530680 0x5306cd,0x8267d0
CASU01.SHP,file,,0x68d018,0x83e438
CASU02.SHP,file,,0x68d053,0x83e42c
CLDisableBlue,tag,ra2|rules,0x75d64d,0x847da0
CLDisableGreen,tag,ra2|rules,0x75d633,0x847db0
CLDisableRed,unclassified,,0x75d619,0x847dc0
CLSID,unclassified,,0x6bb4d7 0x6bb64b,0x840b44
CMID,code,,0x76aeb3,0x848cb8
CMislAcceleration,tag,rules,0x67165b,0x83b934
CMislAltitude,tag,rules,0x671673,0x83b924
CMislBodyLength,tag,rules,0x6716d8,0x83b8f4
CMislDamage,tag,rules,0x671698,0x83b918
CMislEliteDamage,tag,rules,0x6716b8,0x83b904
CMislEliteWarhead,tag,rules,0x66c4cd,0x83b160
CMislLazyCurve,tag,rules,0x6716f7,0x83b8e4
CMislPauseFrames,tag,rules,0x67157d,0x83b99c
CMislPitchFinal,tag,rules,0x6715e8,0x83b968
CMislPitchInitial,tag,rules,0x6715c1,0x83b978
